"","participant","nLL","kernel","acq","R2","kError","lambda","beta","tau","alpha","d","k","omega","ModelName","meanScore"
"58",12,321.470070518824,"BMT","UCB",0.656456832198717,5.13366262466815,NA,0.16197370935253,0.0101812939253128,NA,NA,NA,0.0190356325822025,"BMT-UCB",80.9170922854108
"59",12,289.546504182257,"dNN","GM",0.690572366155202,NA,NA,NA,0.0742564219269827,NA,1,NA,0.182946278324124,"dNN-GM",80.9170922854108
"60",12,415.53379130732,"Sticky","GM",0.555934414784548,NA,NA,NA,0.472168985395983,NA,NA,NA,2.30136214457809,"Sticky-GM",80.9170922854108
"61",13,373.985571008848,"DF","UCB",0.600335460252968,NA,NA,0.392280647779519,0.0495351428770869,0.636290873550431,NA,NA,0.213656333095963,"DF-UCB",79.6584520035311
"62",13,342.444330732465,"kNN","GM",0.634042416497579,NA,NA,NA,0.100604645149766,NA,NA,6,0.300506254362759,"kNN-GM",79.6584520035311
"63",13,370.233221897416,"BMT","UCB",0.604345456886114,9.77263415746516,NA,0.0151550634756658,0.00681169417230648,NA,NA,NA,0.00724073298360264,"BMT-UCB",79.6584520035311
"64",13,445.064751578952,"Sticky","GM",0.524375770387086,NA,NA,NA,0.179829134135407,NA,NA,NA,0.876491198350976,"Sticky-GM",79.6584520035311
"65",13,375.663953196909,"dNN","GM",0.598541835320056,NA,NA,NA,0.10649298227618,NA,3,NA,0.326763623410917,"dNN-GM",79.6584520035311
"66",14,319.851320282571,"kNN","GM",0.658186730671516,NA,NA,NA,0.087555949993495,NA,NA,2,0.245107551036566,"kNN-GM",76.625720571787
"67",14,316.181216450175,"BMT","UCB",0.662108834818587,4.16753148603302,NA,0.0429430474665336,0.0227127581478446,NA,NA,NA,0.0192250042887388,"BMT-UCB",76.625720571787
"68",14,274.892292775752,"DF","UCB",0.706232779580612,NA,NA,0.40226107565211,0.0320707502034668,1.21202130242807,NA,NA,0.129640653174133,"DF-UCB",76.625720571787
"69",14,417.934986982139,"Sticky","GM",0.553368345827315,NA,NA,NA,0.396559160585952,NA,NA,NA,1.9238352918073,"Sticky-GM",76.625720571787
"70",14,318.917789231138,"dNN","GM",0.659184360759233,NA,NA,NA,0.0879893691455585,NA,1,NA,0.24661647170476,"dNN-GM",76.625720571787
"71",15,295.709074409847,"DF","UCB",0.683986655409665,NA,NA,0.397496900144145,0.014806897485409,0.0851123864752859,NA,NA,0.0383592159763299,"DF-UCB",86.0430257940323
"72",15,299.275827937999,"BMT","UCB",0.680174997908082,0.00748273681206701,NA,0.18718819142132,0.00698236277508145,NA,NA,NA,0.0254277377151902,"BMT-UCB",86.0430257940323
"73",15,439.864168479327,"Sticky","GM",0.529933441088983,NA,NA,NA,0.0497187209536041,NA,NA,NA,0.245772268901257,"Sticky-GM",86.0430257940323
"74",15,322.119669645814,"kNN","GM",0.655762629651254,NA,NA,NA,0.0920874995849854,NA,NA,1,0.212894850426225,"kNN-GM",86.0430257940323
"75",15,322.119860870175,"dNN","GM",0.655762425296856,NA,NA,NA,0.0920875455142886,NA,1,NA,0.212896045974001,"dNN-GM",86.0430257940323
"76",16,334.837357132482,"BMT","UCB",0.64217170767452,8.45524799761777,NA,0.0709820556020095,0.00722023187050494,NA,NA,NA,0.00675932747048515,"BMT-UCB",76.0010136447861
"77",16,301.781120021232,"DF","UCB",0.677497684971446,NA,NA,0.161862852971316,0.0434127876096537,1.87474097114265,NA,NA,0.0823858809012028,"DF-UCB",76.0010136447861
"78",16,321.302584210947,"kNN","GM",0.656635818617821,NA,NA,NA,0.0526078006614924,NA,NA,3,0.0935834843347497,"kNN-GM",76.0010136447861
"79",16,310.470282175995,"dNN","GM",0.668211898934292,NA,NA,NA,0.0492562826948038,NA,2,NA,0.0919247955795577,"dNN-GM",76.0010136447861
"80",16,467.007932877747,"Sticky","GM",0.500925904578865,NA,NA,NA,1.29825472657154,NA,NA,NA,6.44808690747467,"Sticky-GM",76.0010136447861
"81",17,266.799983696263,"kNN","GM",0.714880730823811,NA,NA,NA,0.0601425908057592,NA,NA,1,0.101350380672029,"kNN-GM",83.1706534981086
"82",17,282.426060411076,"DF","UCB",0.698181720908988,NA,NA,0.00674010890653706,0.0679898950537473,1.54613171687036,NA,NA,0.123123116050072,"DF-UCB",83.1706534981086
"83",17,262.677764610335,"dNN","GM",0.719285993811016,NA,NA,NA,0.0601424804702113,NA,1,NA,0.101350391993865,"dNN-GM",83.1706534981086
"84",17,335.069269613108,"BMT","UCB",0.641923871388802,2.4836568569902,NA,0.0214601662041002,0.0672537595435453,NA,NA,NA,0.152940795386292,"BMT-UCB",83.1706534981086
"85",17,421.919529630624,"Sticky","GM",0.549110212553848,NA,NA,NA,0.34583556072799,NA,NA,NA,1.71767350397817,"Sticky-GM",83.1706534981086
"86",18,335.500190354587,"BMT","UCB",0.641463362339359,7.27544025341602,NA,0.0203777470438487,0.00675713117061003,NA,NA,NA,0.00919706793601497,"BMT-UCB",81.8007377269879
"87",18,258.093999402294,"Sticky","GM",0.724184494058601,NA,NA,NA,0.140109481796801,NA,NA,NA,0.802653871926269,"Sticky-GM",81.8007377269879
"88",18,197.78269910249,"kNN","GM",0.788636948763854,NA,NA,NA,0.0664999526753157,NA,NA,2,0.214219945581442,"kNN-GM",81.8007377269879
"89",18,332.966147718097,"DF","UCB",0.644171399928295,NA,NA,0.215617993961154,0.0391474224327598,0.621230820161154,NA,NA,0.167152659204881,"DF-UCB",81.8007377269879
"90",18,194.825150727725,"dNN","GM",0.791797571262716,NA,NA,NA,0.0665762843078511,NA,1,NA,0.212809397702941,"dNN-GM",81.8007377269879
"91",19,238.241695207418,"Sticky","GM",0.745399916882428,NA,NA,NA,3.97434544195567,NA,NA,NA,23.056619885687,"Sticky-GM",74.5891861491019
"92",19,184.527973420284,"DF","UCB",0.802801783586123,NA,NA,0.0400852757051203,0.0601527018945139,1.07039906231622,NA,NA,0.230234020809299,"DF-UCB",74.5891861491019
"93",19,190.951889962207,"kNN","GM",0.795936781706037,NA,NA,NA,0.0563760059148782,NA,NA,7,0.235536069209721,"kNN-GM",74.5891861491019
