"","participant","loo","nLL","tau","beta","lambda","errorVariance","alpha","d","k","gamma","omega","R2","acq","kernel","meanScore"
"3549",84,7,44.4905365496048,2.57574122301072,NA,NA,NA,NA,NA,NA,NA,11.8238035268682,0.946511436294497,"GM","Sticky",72.1138082646454
"3550",84,8,17.6691721582119,0.133376491575046,NA,NA,NA,NA,2,NA,NA,0.439342916258924,0.978757310792279,"GM","dNN",72.1138082646454
"3551",84,1,134.497468469253,0.093481440923785,NA,NA,NA,NA,2,NA,NA,0.30731808796608,0.838300974356075,"GM","dNN",72.1138082646454
"3552",84,6,20.9034000610082,0.136311332889673,NA,NA,NA,NA,2,NA,NA,0.467801477207441,0.974868973661888,"GM","dNN",72.1138082646454
"3553",84,7,34.3687510793106,0.134517318195709,NA,NA,NA,NA,2,NA,NA,0.455342959640474,0.958680311046943,"GM","dNN",72.1138082646454
"3554",84,5,10.7335043436887,0.132080142023385,NA,NA,NA,NA,2,NA,NA,0.414686724271845,0.98709568876,"GM","dNN",72.1138082646454
"3555",84,9,40.4169945297958,0.134667889986538,NA,NA,NA,NA,2,NA,NA,0.449859055135971,0.951408835353523,"GM","dNN",72.1138082646454
"3556",85,1,113.751788591691,0.0417298804120525,0.375524292717888,NA,NA,0.225659426111942,NA,NA,NA,0.157388532859542,0.863242382255432,"UCB","DF",74.5192588160563
"3557",85,1,32.1757933498262,1.62431821475388,NA,NA,NA,NA,NA,NA,NA,7.0885710793726,0.961316785414615,"GM","Sticky",74.5192588160563
"3558",85,2,62.7689197049712,0.902229728788423,NA,NA,NA,NA,NA,NA,NA,4.06643972019414,0.924536325683067,"GM","Sticky",74.5192588160563
"3559",85,3,53.81135245475,0.0119955669627786,NA,NA,NA,NA,NA,NA,NA,0.0535710998804045,0.93530552389167,"GM","Sticky",74.5192588160563
"3560",85,9,58.268266332218,0.00768069152711751,NA,NA,NA,NA,NA,NA,NA,0.0344591770715107,0.929947217601093,"GM","Sticky",74.5192588160563
"3561",85,2,53.053972379449,0.129999556243926,NA,NA,NA,NA,1,NA,NA,0.402145629986734,0.936216080957257,"GM","dNN",74.5192588160563
