"participant","loo","alpha","beta","tau","omega"
8,5,1.52961038197072,0.111714480503621,0.044906490457922,0.166186101292865
8,6,1.21279631300756,0.141013793745671,0.0387566837410424,0.115807901885424
8,7,1.44250185980833,0.112771521668831,0.0450371713067466,0.165615984598174
8,8,1.37695913579799,0.113442241188253,0.0427876743500307,0.160829782889987
8,9,1.50201366629707,0.110424354404191,0.0443527770321733,0.160608465781464
9,9,0.323638215441804,0.322592832106659,0.0308958780724995,0.0440770577615142
9,1,0.330766947975833,0.320962323953917,0.0311450176682282,0.0468742497575832
9,2,0.308595018930141,0.307793629247676,0.0347582811424229,0.0537315857743838
9,3,0.504716276465195,0.286538149290386,0.0413376307565561,0.0651600787664721
9,4,1.32801104709824,0.199374078554412,0.0535012274293854,0.0829689461441862
9,5,0.280049351022436,0.321568945512258,0.0298110764406981,0.042548736190161
9,6,0.29022647172115,0.307550876335891,0.0324863391918915,0.0423302125898099
9,7,0.300473221459364,0.331165983871337,0.0277460212203387,0.0379771115867354
9,8,0.0209821415853236,0.415496111644197,0.00678563484122347,0.00751758206784646
10,1,0.318554623403943,0.221033210374241,0.0361578158600868,0.0774195094229015
10,9,0.226003901747988,0.214703691924134,0.0352762127113467,0.0859667173965844
10,2,0.288039173139065,0.216817513282681,0.0344527161580247,0.0766847275751548
10,3,0.237486735708368,0.226738628249894,0.0344226907637224,0.0755584714603159
10,4,0.236961029840799,0.226375158938927,0.0306008659068356,0.0765829359415705
10,5,0.248331954626635,0.224256478024443,0.0330183437647089,0.0732680493135008
10,6,0.488423152661916,0.221819254031855,0.0314545280654135,0.0676175090271234
10,7,0.253922727024903,0.215562267724017,0.034964677946141,0.0814137796505197
10,8,0.232124464422679,0.203841123526257,0.0334431993310128,0.0758494634644053
11,1,0.650150976672368,0.0537559034496895,0.0473777832015183,0.101764160625469
11,5,0.556101989986347,0.0673451170266677,0.0415755251425691,0.0806639342433894
11,4,0.708746945127218,0.0588963627655517,0.0427127032991071,0.0825856573208609
11,2,0.723799763578918,0.0368074597464057,0.0477940728838104,0.0963267112285616
11,3,0.669932591079793,0.0473760292354291,0.0467617003885767,0.0908471611818017
11,9,0.646014644498682,0.0522652401715758,0.0429445277861848,0.0855106837712236
11,6,0.727281776987609,0.0277100823090169,0.0415525233804803,0.0653453885015866
11,7,0.697010980614301,0.0382510241354454,0.0477349083690805,0.0889642299746637
11,8,0.562694817723553,0.0590897435340926,0.0428711203968365,0.0842858032249671
12,1,0.274097446655384,0.237800781289641,0.0372564687957383,0.0889216048225423
12,3,0.338442652104911,0.247444881315705,0.0346667656802051,0.0822134473851603
12,4,0.14894603045227,0.27643423358436,0.0253109254869584,0.063020691088947
12,5,0.304541835006449,0.246589922655767,0.038515095764616,0.101964508406229
12,2,0.250250123243802,0.240034574500752,0.0364643995196086,0.0904558643233389
12,9,0.246114088090359,0.222302406322624,0.0387857323845847,0.0922560896468393
12,6,0.354232853649587,0.233120340673438,0.0411192345006905,0.0957322355032044
12,7,0.261604516712486,0.239479265775802,0.0361554247412774,0.0920815195699041
12,8,0.259785184510782,0.229656348555776,0.0381896046977874,0.0950754489392332
13,2,0.636290873550431,0.391003834506966,0.0495351428770869,0.213656333095963
13,3,0.677207819663936,0.396023148286197,0.0491981354036563,0.213542030186956
13,4,0.768850934149589,0.459212947080221,0.0566572958562392,0.293602154187784
13,5,0.634431802709426,0.388867589516371,0.0516888384989294,0.217566797804037
13,9,0.602008254921322,0.384652769851945,0.047502039562944,0.213194574007099
13,1,0.676546309081702,0.417326214524162,0.04446138521005,0.204279052428332
13,6,0.676437774939243,0.392280647779519,0.0512390577782898,0.224034002650206
13,7,0.62669972163599,0.41236842411829,0.0520917407779247,0.241619276985574
13,8,0.137529051124631,0.352027362095787,0.0136785501154523,0.045873709639021
14,1,1.13847567475772,0.385543640740062,0.0290361577657583,0.125162840235762
14,2,1.10871811375479,0.393510651827636,0.0299854445483966,0.139247890625238
