"participant","loo","k","tau","omega"
8,2,2,0.046130515750597,0.153467197078127
8,3,2,0.0531571533064756,0.190865259644265
8,4,2,0.0495622143250294,0.164127614256344
8,5,2,0.0487002291636364,0.165884712324926
8,6,2,0.0534322279276423,0.171784319261188
8,7,2,0.0496492229495849,0.166534058019476
8,8,2,0.0511351134275034,0.178213095102377
8,9,2,0.0486110508522111,0.160074729269143
9,1,1,0.0744072797505292,0.169816173728307
9,2,2,0.0781009785786299,0.177786694728948
9,3,1,0.0749033892131369,0.149859168002679
9,4,1,0.0689778511988285,0.12966393601729
9,5,1,0.0787630305098982,0.170582792655516
9,6,2,0.0824635188819071,0.186125049359717
9,7,1,0.078688629963925,0.174150421454636
9,8,1,0.0812626479532019,0.194432740120464
9,9,1,0.0769697998172325,0.162070681634651
10,1,2,0.0802464734020817,0.196704054978464
10,2,2,0.0795961767530977,0.202485748556743
10,3,2,0.0801899995301934,0.204135953892186
10,4,2,0.0817503079621444,0.227144696961995
10,5,2,0.0816340684978896,0.21084646894055
10,6,2,0.0602675763131358,0.143845571840517
10,7,2,0.0838664340684699,0.2219849991241
10,8,1,0.0791014711082576,0.222784448086356
10,9,2,0.0892338511248252,0.253872306766986
11,1,1,0.0587245297473108,0.161543640541032
11,2,1,0.0525577889696124,0.130634342337178
11,3,1,0.0563479506842882,0.14180436307743
11,4,1,0.0569129179369381,0.153410917073042
11,5,1,0.0565580658548641,0.148893303848536
11,6,1,0.0488607821011292,0.122368250724459
11,7,1,0.0557294084824022,0.141074053880221
11,8,1,0.056825691342625,0.15029190065149
11,9,1,0.0563491252405538,0.152920943936636
12,1,2,0.0726426675784927,0.170158092057401
12,5,1,0.0742573007858312,0.196705028151539
12,3,2,0.0656063063077713,0.154063688069487
12,4,2,0.0798241405662938,0.217021764520334
12,2,2,0.0778754373726252,0.195488013547106
12,6,2,0.0709514696501477,0.151802833295752
12,7,1,0.0744101191851848,0.182945999516267
12,8,2,0.0703931246354929,0.16988199714212
12,9,2,0.0755608118505661,0.183065948433702
13,1,5,0.100604645149766,0.308135676516176
13,5,7,0.0997943516309214,0.291176121537189
13,2,6,0.0987087470554372,0.291987115981669
13,3,5,0.101151484973621,0.298913225972106
13,4,6,0.107754371758097,0.3417061842279
13,6,5,0.100707990832662,0.302356116010649
13,7,7,0.101286915871095,0.307742039703997
13,8,6,0.0797566405233376,0.218110643281014
13,9,5,0.0996755587625096,0.300506254362759
14,5,2,0.0888583621227099,0.240279955504339
14,1,2,0.082129220049837,0.236170362456638
14,2,1,0.0806295078359005,0.225940383118547
14,3,2,0.0881283329419434,0.251215977833293
14,4,2,0.0895708114476225,0.256643915598247
14,6,2,0.0923456818664577,0.260263791445931
14,7,0,0.0857465594895189,0.209265589358773
14,8,2,0.087555949993495,0.245107551036566
14,9,2,0.087387278115801,0.255338927256809
15,2,1,0.0930568795801918,0.212894850426225
15,3,1,0.100826251035239,0.263316268222757
15,4,1,0.0920874995849854,0.220527584944979
15,1,1,0.0881826143695053,0.182569283877321
15,5,1,0.0973039230614675,0.24274701566817
15,6,1,0.0933995954794938,0.22271896974624
15,7,1,0.0859610328370489,0.18531653870774
15,8,1,0.0853180159229703,0.186098456831828
15,9,1,0.0788145890809115,0.159389571775267
16,1,3,0.0468128511401928,0.0822219769841225
16,2,4,0.0500792975582317,0.0961095153684196
16,3,3,0.0526078006614924,0.0943423788186929
16,4,3,0.0509740860078275,0.0880287510096752
16,5,3,0.0527634776700799,0.0935834843347497
16,6,3,0.049850025468445,0.0931546643852114
16,7,3,0.0539237678025362,0.0996919222417143
16,8,3,0.0536737390970342,0.100164872741513
16,9,3,0.0528473260178215,0.0928981133798071
17,1,1,0.0616723983669443,0.105432463622453
17,2,1,0.0596825668264677,0.102732134824089
17,3,1,0.0610099037882487,0.101936976040714
17,4,1,0.0617457348819219,0.101133312655239
17,5,1,0.0594417820660152,0.101350380672029
17,6,2,0.053019825358041,0.0673832947313782
17,7,1,0.0587410451548043,0.0970770492860454
17,8,1,0.06156468966205,0.103762783226389
17,9,1,0.0601425908057592,0.0962618672272276
18,5,2,0.0670567386334341,0.219079896750296
18,1,0,0.059230216641946,0.147975958142552
18,2,2,0.0614536501074313,0.207268180072096
18,3,1,0.0654442122582407,0.219558163503548
18,4,2,0.0668430934205484,0.217110602907947
18,6,2,0.0664999526753157,0.214219945581442
18,7,2,0.064130076614989,0.206904893803934
18,8,1,0.0700718468450894,0.21721621442736
18,9,2,0.0670194605220384,0.207239293359692
19,1,1,0.0563342903263777,0.210652226320375
19,2,12,0.0577054195677469,0.257909690408657
19,3,7,0.0518912967172215,0.21954401594583
19,4,12,0.0555875210066747,0.234798615354524
19,5,7,0.0640895830431257,0.276517406063571
19,6,12,0.0563760059148782,0.235536069209721
19,7,6,0.0596825940855438,0.250895660720892
19,8,7,0.054404030093181,0.229748995306979
19,9,7,0.0631478638014007,0.263082517123593
20,1,2,0.114299674117599,0.259565647994899
20,2,2,0.10011163517472,0.191013263550251
20,3,2,0.105556705358816,0.215730152058641
20,4,2,0.0986086471903828,0.182670858094495
20,5,2,0.105696113807169,0.203201069880771
20,6,2,0.106916341749969,0.219246489246523
20,7,2,0.108883802224711,0.217002866817585
20,8,2,0.111129671846448,0.227313430827367
20,9,2,0.102952606859111,0.20046337413509
22,5,2,0.0779064235441312,0.169596946324979
22,1,4,0.0838959524046066,0.212759714014954
22,2,4,0.077133203734796,0.182889959079368
