"participant","loo","d","tau","omega"
15,2,1,0.0930571570881182,0.212896045974001
15,3,1,0.100827025376519,0.263319537485576
15,4,1,0.0920875455142886,0.220526992971039
15,8,1,0.0853184446464507,0.186099709804133
15,5,1,0.097303970886307,0.24274700915258
15,6,1,0.0933998459320165,0.222719975379807
15,7,1,0.0859610694805062,0.185316600888169
15,9,1,0.0788145486623514,0.159389229099252
16,1,2,0.0462659982030527,0.0887230558169852
16,2,2,0.0492562826948038,0.0950527141493759
16,3,2,0.0484883355584778,0.089445942029337
16,4,2,0.04301257696052,0.0639258325553019
16,8,2,0.0500976047203249,0.0961818033141662
16,5,2,0.0492908648173364,0.0892216592668969
16,6,2,0.0484980023604858,0.0965275902184609
16,7,2,0.0508943336944426,0.0979123579865153
16,9,2,0.0498871773822834,0.0919247955795577
17,1,1,0.0616723937094213,0.105432585279904
17,2,1,0.0596824261328443,0.102732025540758
17,3,1,0.0610098456811188,0.101936796325478
17,4,1,0.0617457240657769,0.101133295348676
17,5,1,0.0594417897446108,0.101350391993865
17,6,1,0.0539058546753632,0.0706290933992887
17,7,1,0.0587411493403018,0.0970777149240005
17,8,1,0.0615644456843625,0.103762264357902
17,9,1,0.0601424804702113,0.0962614165094848
18,1,0,0.0592305337350053,0.147977756583602
18,2,1,0.0615479476343688,0.204536860136267
18,3,1,0.0654442731849422,0.219557486195516
18,4,1,0.0665762843078511,0.212809397702941
18,5,1,0.0668339894537102,0.214940568920147
18,6,1,0.0686603034396564,0.21988484375091
18,7,1,0.0639631331227672,0.202908268892651
18,8,1,0.0700722849496207,0.217216501212819
18,9,1,0.0677776765294385,0.210361475984609
19,1,1,0.0563346765192281,0.210653325202596
19,2,4,0.0677879378814136,0.30831014660105
19,3,1,0.0576820182258823,0.218828707115763
19,4,1,0.0658885072308191,0.256826901024506
19,5,1,0.0700641634868487,0.271664252660551
19,6,1,0.0674143648026318,0.261310174528376
19,7,1,0.0662503133125703,0.25894453741934
19,8,4,0.0559236512902679,0.245184957495299
19,9,1,0.0700402894170031,0.263057344541458
20,1,1,0.116100010032719,0.2653080230646
20,2,1,0.101946045726688,0.195968849020783
20,3,1,0.107369697240987,0.22091505773816
20,4,1,0.0994411367110097,0.184250918961665
20,5,1,0.107685603555086,0.209115225157091
20,6,1,0.108800819623366,0.224648934499643
20,7,1,0.110727658110537,0.222243773329255
20,8,1,0.11307766939791,0.233694388219702
20,9,1,0.103980988537397,0.20273179805343
22,1,2,0.0844752095589891,0.213301649038219
22,2,2,0.0776847465973906,0.182527265803875
22,3,1,0.0823656088727338,0.185889207503221
22,4,2,0.0725987737217037,0.170784702428884
22,5,1,0.0788639749412763,0.17196403590985
22,6,2,0.0811046229052516,0.18603695624538
22,7,2,0.0833279610073782,0.214075667387806
22,8,2,0.0846998831717087,0.206273594524446
22,9,2,0.0814663745115874,0.209385661495109
23,1,8,0.0482178923323327,0.203982151850337
23,2,8,0.0303447910032105,0.135159787386567
23,3,0,0.0456058345253916,0.0867665757518992
23,4,8,0.0423855154988623,0.164869533748163
23,5,3,0.0575676250889677,0.234345571919691
23,6,3,0.0557612732050749,0.224337401894605
23,7,0,0.0582498608340316,0.155423316608325
23,8,3,0.0553519970590113,0.221609044813749
23,9,3,0.0598714130973853,0.242818352286206
24,1,1,0.0682449313558954,0.176341105616165
24,2,1,0.0656728207229465,0.190210574647933
24,3,1,0.060236716573285,0.17072783715399
24,8,1,0.070853970881037,0.199628569624286
24,4,1,0.0611788293511056,0.176135483915598
24,5,1,0.0672617259838377,0.192982434187794
24,6,1,0.0640787253195748,0.19024413155138
24,7,1,0.0713109044578359,0.217858561667373
24,9,1,0.0689474612295557,0.201980161133946
25,1,1,0.129858082870501,0.338389539984327
25,2,1,0.127507840064895,0.330650873357916
25,3,1,0.124157685310044,0.315982822462416
25,4,1,0.126278892461424,0.332022392451142
25,5,1,0.11971257869502,0.304522043380838
25,6,6,0.123127635677074,0.341272426895263
25,7,1,0.11917053275365,0.315953791302472
25,9,1,0.125237409417661,0.310160063304405
25,8,1,0.110313691082206,0.274777097260113
26,1,2,0.0850800195946623,0.217743885670402
26,2,2,0.0835174803166944,0.227191158253917
26,3,3,0.0770186891390473,0.204207944438095
26,6,2,0.0820892172807586,0.201964699886921
26,7,2,0.0792688561628647,0.194683349025289
26,8,2,0.0627349850153106,0.149172165714758
26,4,3,0.0720771416556629,0.190172664701415
26,5,2,0.079551050363521,0.200503770028874
26,9,3,0.0808860650827489,0.214937172586418
27,1,1,0.0660435762470346,0.136838001124006
27,2,1,0.0623096194314571,0.114134987824593
27,3,1,0.0631978106014209,0.109453604915717
27,5,1,0.0602211237798871,0.0991847999777391
27,6,1,0.0634138063365391,0.123183743266088
27,4,1,0.0657350736856157,0.129174147650816
27,7,1,0.0483273278976318,0.0768924907537212
27,9,1,0.0647708964854217,0.118311791196003
27,8,1,0.0606311954073732,0.102256769429734
28,1,1,0.0522078563363951,0.182201952291015
28,2,0,0.051440607710813,0.125622265707077
28,3,2,0.0439988291632679,0.164683092698244
28,4,1,0.0517244748817656,0.180536126356343
28,5,2,0.0245276659304515,0.0911873282803459
28,6,1,0.0549193549308597,0.199994974345518
28,7,1,0.0497455757570947,0.172707063141608
28,8,1,0.0523668754342583,0.179338357779608
28,9,1,0.0526589453050551,0.197500053909361
29,1,1,0.0877631983008232,0.216761957865171
29,2,2,0.0885767562869808,0.227814174916751
29,3,2,0.0832186065767295,0.206629928173101
29,4,2,0.0899067493903818,0.230536000338543
29,5,1,0.0846472750596687,0.19704268438318
29,6,2,0.0887952254489019,0.227553377819306
29,7,2,0.0773408301663827,0.19582551471868
29,8,1,0.0796259754940865,0.184950568522846
29,9,2,0.0889015174119778,0.232895285252105
30,1,1,0.0831982805715942,0.282073558247242
30,2,1,0.08204826756411,0.273886670750201
30,3,1,0.0799884365454921,0.269780034718993
30,4,1,0.0852503995839149,0.284897993854226
30,5,1,0.0854060716486406,0.287253557680592
30,6,1,0.0840473043630591,0.282960847653611
30,7,0,0.0793625982146383,0.21447091527114
30,8,1,0.0843705618106255,0.281406518121402
30,9,1,0.0855406996293291,0.289569427990349
31,1,0,0.116645841118338,0.271454361167878
31,2,0,0.111368012942427,0.262796289581103
31,3,0,0.112172674497323,0.264484547383336
31,4,0,0.116794009558083,0.281050654019762
31,5,0,0.114263940724438,0.287819523866684
31,6,0,0.115742514614396,0.280821656831983
31,7,0,0.116855075831876,0.278246106202209
31,8,0,0.110013702823921,0.264041862123957
31,9,0,0.110799447322956,0.265847376162431
32,4,1,0.0591918368849585,0.159074014133771
32,1,2,0.0553990570376154,0.168786417705352
32,3,1,0.0477294739901823,0.129403407321022
32,2,2,0.0586395341192818,0.187951852062054
32,5,1,0.0609844633708212,0.177067595660982
32,6,2,0.059082692721152,0.186360247542801
32,7,2,0.0597698512773344,0.195286645268114
32,8,1,0.0546361179110319,0.153369241446715
32,9,2,0.0504347288151656,0.143618529352884
33,3,6,0.083440004367281,0.226280607694387
33,1,4,0.107295619415108,0.289584672600151
33,2,4,0.107272418662884,0.273601988908813
33,8,4,0.100880174198102,0.267087448613892
33,4,1,0.0950126924312706,0.205994927467424
33,5,4,0.0987389032466022,0.229629244697494
33,6,4,0.104955587466145,0.258978869224341
33,7,4,0.105717010198365,0.276051153725107
33,9,4,0.105502366965148,0.273241770968317
34,3,2,0.0844512953260767,0.183558222150323
34,1,2,0.0884745759900716,0.206316474362071
34,2,2,0.0867979057821992,0.198390036828775
34,6,2,0.08252300967884,0.193540571412697
34,7,2,0.0861592450369603,0.204236014886723
34,4,2,0.0857167889146017,0.206762437922387
34,5,2,0.0842441868825898,0.210254292197196
34,8,2,0.0851037239415376,0.19918466335271
34,9,2,0.0880049200789941,0.208084406004175
35,1,2,0.0915613615454943,0.12892222234329
35,2,1,0.0913740020803794,0.0944153540411817
35,3,1,0.0897541269970918,0.0896938428363101
35,4,1,0.0876742640607352,0.0889713116645198
35,7,1,0.0890170795479472,0.0941076341541381
35,5,1,0.0914279112601236,0.0937723179214713
35,9,1,0.0916040021516996,0.0974815725663216
35,6,1,0.0943962641744788,0.112930647287813
35,8,1,0.0848151207901588,0.0817402288242286
36,1,1,0.0542021129298669,0.106113171730728
36,2,1,0.0590411412103246,0.110484205253003
36,3,1,0.0545436210324967,0.101398492658016
36,4,1,0.0568568258625289,0.114676656354779
36,5,1,0.0540940622785446,0.108846334556438
36,6,1,0.059490718778532,0.126284335713796
36,7,1,0.0546596599879815,0.106648312875279
36,8,1,0.05404001879439,0.0997423621234885
36,9,1,0.0526978344738672,0.107398477559034
37,1,1,0.110335778661769,0.367032344468359
37,2,0,0.0961157465094716,0.32116522219113
37,3,0,0.0950380548475379,0.316495444743004
37,4,0,0.0942853684828602,0.306087656333569
37,5,13,0.115291084916818,0.367574142345523
37,6,13,0.081644980202278,0.244411066349219
37,7,0,0.105508816131069,0.34768518505962
37,8,0,0.100595989042916,0.327925538999734
37,9,0,0.084688021513587,0.230429866364877
38,1,1,0.0793464087471432,0.238065951196907
38,2,1,0.0761457287497004,0.22274914058173
38,3,1,0.0770763770365283,0.234297241298878
38,4,1,0.0738489975368731,0.204277142826061
38,5,1,0.0795300071571531,0.24303895973815
38,6,1,0.0739346616903424,0.218194843481295
38,7,1,0.0768443705509659,0.224318058449545
38,8,1,0.0731528112431452,0.21452478308432
38,9,1,0.0719798103654447,0.204530478398724
39,1,2,0.0688945506941455,0.193715544217944
39,2,2,0.0749700993436232,0.212584098484668
39,3,2,0.0682700397974699,0.183323009555322
39,4,2,0.0641426997902595,0.177054481118751
39,5,2,0.0695970476296985,0.200993311697476
39,6,2,0.0730269002432469,0.208660604843686
39,7,2,0.0667502672037556,0.168736083195935
39,8,2,0.0623726366703246,0.172305545557814
39,9,2,0.0731844326722121,0.221120493356952
40,1,1,0.0997202113511181,0.195951879117142
40,2,1,0.0977400821540958,0.188613652873181
40,3,1,0.0937817982676621,0.189276679504737
40,4,1,0.0986615939889077,0.195694134260599
40,5,1,0.0981482405042582,0.183691802615703
40,6,1,0.0971017686879089,0.176849121984419
40,7,1,0.0988731810635798,0.189737388400798
40,8,1,0.0950475336664313,0.181344923897102
40,9,1,0.102392884246084,0.200942260918315
41,4,1,0.095922235352804,0.195077484947823
41,2,1,0.0959926779211404,0.195973934312608
41,3,1,0.0830486344734941,0.171581828668533
41,1,1,0.0763913700122793,0.133374399084062
41,5,1,0.0926277632805249,0.176683652329668
41,6,1,0.0903643431988148,0.177468285520636
41,7,1,0.0912532103620334,0.171361098217404
41,8,1,0.0929291914302546,0.189636810130305
41,9,1,0.0893467788114151,0.15962970112103
42,4,1,0.0283901726571401,0.0528278615816755
42,2,1,0.0297678933709346,0.0525968483486845
42,3,1,0.0278833622880689,0.0505529353264387
42,1,1,0.0286707425592641,0.0523373649985419
42,7,1,0.0288625905174618,0.0532235025716329
42,8,1,0.0279436325331448,0.050726223519338
42,5,1,0.0245418047179851,0.0389672656211065
42,6,1,0.0206576586290046,0.0282428234600097
42,9,1,0.0298534741819103,0.0530854121681998
43,4,1,0.135047031261996,0.447352598630054
43,1,1,0.134776415866614,0.415014837960407
43,2,2,0.137247007022063,0.449012302167733
43,3,1,0.13217139673592,0.442012789427072
43,8,1,0.129332062946866,0.421573976298924
43,7,1,0.138570597895045,0.442747143128954
43,5,1,0.131203922133155,0.438973791943243
43,6,1,0.130462247750984,0.441410132633412
43,9,1,0.133479656429221,0.438727507444711
44,2,1,0.0818321966483272,0.229494077630591
44,3,1,0.0734331366402698,0.173243620690697
44,1,1,0.0735355309959747,0.190320138969281
