"participant","loo","errorVariance","beta","tau","omega"
5,7,9.02059482631318,0.0302691243442305,0.00676050528994076,0.0131727513042271
5,1,8.1274540984069,0.0391768838312435,0.00675746328140297,0.00928524878595069
6,2,4.2470552468035,0.00677420163883193,0.0163444463680382,0.0769364831940093
6,9,8.16166710187987,0.00674425052586695,0.00983449225085034,0.0402385594991181
6,8,8.50127767395274,0.00676729872656433,0.00906311374558381,0.0386351998718194
6,1,7.18888797005428,0.00675104279956178,0.010500788396756,0.0444476196114325
6,3,8.81296894384715,0.00675622453288928,0.00795596985187308,0.0315989026985607
6,4,9.21609700833606,0.0067537053186724,0.00758047858302684,0.0325366868646281
6,5,7.810900254394,0.00678377718029082,0.00966944815175545,0.0414320232952103
6,6,10.103723300053,0.00674594084659402,0.0071722136517059,0.0317234918427525
6,7,7.44796547711105,0.00697783230597847,0.00681605986685098,0.0155427346250988
7,9,3.59032704971277,0.0686150622114213,0.0344678599994551,0.0501983967357316
7,8,3.33052741443732,0.0791806280112803,0.0374283947081353,0.0650104700107709
7,1,4.64039813221519,0.217965107745572,0.00952663188671118,0.00904294786476187
7,2,6.35633795170445,0.0966008097773032,0.0134443462604784,0.02237209156757
7,3,3.20397795187578,0.0626393649298378,0.0397847340053645,0.0639088624061044
7,4,3.20060636406327,0.0670860096832428,0.0392350910762587,0.0636580445227797
7,5,3.17129274734107,0.0767580441248247,0.0383850625559837,0.066862097573273
7,6,2.88922057241519,0.0735825333621808,0.0394886604002189,0.0650186701630261
7,7,3.31599955913298,0.0743210114002594,0.0374493642833473,0.059844721563976
8,1,7.19704318875637,0.00674677605281094,0.00674118563767062,0.00695742664791025
8,2,7.06058919883387,0.00678398192037128,0.00676934693105624,0.00677534361584483
8,3,7.19656592081353,0.00681933989573283,0.00675940002636788,0.0071439310592548
8,9,7.01619223988346,0.00716045884241302,0.00685361198772227,0.00680644473405151
8,4,6.83795786338234,0.00675839493376463,0.00713835661905254,0.00683723004053656
8,5,7.02985710489358,0.00693266016220957,0.00685006957335175,0.00680953931387984
8,6,6.26737192943738,0.0570259151526637,0.00724525871256792,0.00686045516788187
8,7,6.87721645112734,0.00677371221390702,0.00675951962841358,0.00676855665446687
8,8,6.8702966803981,0.00740625000061381,0.00675802563253702,0.0071858977152002
9,2,5.53550977307247,0.207130041795247,0.00748891026735643,0.00678002355635158
9,9,5.47634127328174,0.201876088637574,0.00857366734339896,0.00678741146100062
9,7,5.6911117973133,0.206139905505027,0.00780705059091534,0.00679847199548567
9,1,5.62823216686331,0.208478219151168,0.00723667202571922,0.00675486951291209
9,6,5.69166303490326,0.212026122371317,0.00675617735331002,0.00681258065197333
9,3,5.61507667699381,0.19711698414569,0.00790034634711585,0.00684883949607771
9,4,5.84307293960248,0.208608495231466,0.00712733846213369,0.00674149221230462
9,5,5.37671723453485,0.199634087374304,0.00806414601253871,0.00683338951652498
9,8,5.15985558620745,0.234223520085713,0.00767810255908117,0.00729785678893782
10,4,3.06167290617742,0.111592500353388,0.0231335739218136,0.0516652148446176
10,5,2.89980791602247,0.101516702285353,0.0277595738862155,0.0570121311140913
10,6,2.84239270344943,0.0947583126969153,0.0305889634153168,0.0684645640149198
10,9,2.66624253892817,0.0934706541221251,0.028729518594785,0.057217612009169
10,2,2.87709609676033,0.102411195234626,0.0279127561118134,0.0605992046668369
10,3,3.10409833692265,0.132566003378645,0.0222987438437467,0.0548696074468354
10,1,2.89061011818196,0.107784203491769,0.0283256924637723,0.0629563780662914
10,7,3.131746584269,0.0901357336462753,0.0279809986245752,0.0550276061180597
10,8,2.31198925095427,0.0974216238895672,0.0294025958731705,0.0666300721853459
11,1,3.08130633074388,0.0419883289996612,0.0283687593274212,0.0568406899202017
11,2,3.09399667816942,0.0374094816897618,0.0279724538970371,0.0571125477062931
11,3,2.80906700385954,0.0364726262406587,0.0300071210326594,0.0563102403109435
11,4,3.56837386491594,0.0286406785013876,0.021095236148334,0.0285661935804862
11,5,2.63888873220153,0.0399350651192829,0.0286060728862965,0.0533481590691503
11,6,3.05490033601573,0.0688413161524921,0.022122129845874,0.0403445685673866
11,8,2.62502604759716,0.0396659550718271,0.0289188662356537,0.0557367695868565
11,9,2.58362898506488,0.0432151029878238,0.0285310668047366,0.0581438513215468
11,7,2.72059762201814,0.033754297096464,0.0318805389386581,0.0600910226345696
12,3,5.00154859533408,0.16197370935253,0.0109097559616535,0.0194910453382368
12,4,5.56294108351016,0.188509019738022,0.00683493403693205,0.0121097839990177
12,5,7.0222496161666,0.101652969658912,0.00710483499158746,0.00688618828542618
12,6,5.65830183242903,0.16885257285994,0.00885459367749375,0.0155949422118264
12,8,5.06236696932642,0.158581769940379,0.0109220371464025,0.0206147271512845
12,9,4.60713332651257,0.158103838487178,0.012724905480682,0.0263064044531333
12,2,4.76223232379633,0.157795408116907,0.0118523383725936,0.0229924203172885
12,1,5.13366262466815,0.165264791607749,0.0101812939253128,0.0185495882086203
12,7,5.37131138659777,0.168893917996626,0.00961755059587527,0.0190356325822025
13,2,9.8772329037517,0.0162403542463392,0.00677318525616982,0.00772101466605986
13,3,9.57128023571624,0.0151550634756658,0.00681169417230648,0.00695500082260158
13,4,8.80509136407237,0.0111025602350054,0.00702576249024662,0.00699249343684255
13,5,9.42396367045458,0.012066494452682,0.00730255122161079,0.00724073298360264
13,8,5.97672107560093,0.188139005327988,0.00684276087847168,0.00698168988198099
13,9,9.77263415746516,0.0195279805890319,0.00678818897830551,0.00871968596180178
13,1,10.0177429877852,0.00698789365036453,0.00674261343168768,0.00715034657474934
13,6,9.90809313585892,0.0106911636473667,0.006768294643934,0.00750613295121918
13,7,9.84674267074818,0.0174750044683949,0.00691206664763211,0.00910510934851149
14,8,4.21877768863718,0.0429430474665336,0.0223566945860186,0.0192250042887388
14,9,3.92059354711029,0.0207071238745722,0.0265929205205682,0.0204542462615372
14,1,4.37997971389745,0.0665665830500533,0.0172543543804523,0.015957544544466
14,2,3.94438165678634,0.0488882320477579,0.0250901782888577,0.0369544745575021
14,3,4.14889120308865,0.0412924166186887,0.0230395429900529,0.0203279589112101
14,4,4.26502890737015,0.0397320130914927,0.0227127581478446,0.019595080127053
14,5,4.09820792423705,0.124346899573569,0.0148281121550647,0.00757526643494749
14,6,4.16753148603302,0.0396541872130867,0.0230482218132475,0.0174762889210827
14,7,7.08843417620583,0.0987682851079462,0.00686311881972609,0.00683357959239812
15,1,0.007118765454632,0.185492929079467,0.00778917319938702,0.027370678720954
15,2,0.00748273681206701,0.187895898428827,0.00682119916500217,0.0252306859804439
15,9,0.0069215141263441,0.186596029745025,0.00739401132605204,0.0281157550200561
